articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2546789035,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2544365867,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2546002038,마포자이,매매,5/19,27억,135,113,남동향,27억
2544582930,마포자이,매매,고/25,29억,189,157,남서향,29억
2545092676,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2546521942,마포자이,매매,고/19,30억,135,113,남동향,30억
2543080859,마포자이,매매,13/25,"29억 5,000",189,157,남향,"29억 5,000"
2543081629,마포자이,매매,5/19,27억,135,113,남서향,27억
2543080256,마포자이,매매,5/19,27억,135,113,남동향,27억
2548488713,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548383373,마포자이,매매,4/19,25억,108,84,남동향,25억
2547036992,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2549020278,현대홈타운,매매,18/20,15억,107,84,남서향,15억
2549020393,현대홈타운,매매,4/20,15억,107,84,남향,15억
2548727023,현대홈타운,매매,5/20,"13억 7,500",107,84,남향,"13억 7,500"
2548856540,현대홈타운,매매,4/20,15억,107,84,남향,15억
2548876136,현대홈타운,매매,2/20,"12억 2,000",79,59,동향,"12억 2,000"
2548511717,현대홈타운,매매,5/20,"13억 7,500",107,84,남향,"13억 7,500"
2548691423,현대홈타운,매매,4/20,15억,107,84,남향,15억
2548607969,현대홈타운,매매,1/20,"12억 5,000",107,84,남서향,"12억 5,000"
2548609363,현대홈타운,매매,4/20,15억,107,84,남향,15억
2548566886,현대홈타운,매매,4/20,15억,107,84,남향,15억
2548544385,현대홈타운,매매,2/20,"12억 2,000",79,59,동향,"12억 2,000"
2548631360,현대홈타운,매매,1/20,"12억 5,000",107,84,남서향,"12억 5,000"
2548381690,현대홈타운,매매,18/20,15억,107,84,남서향,15억
2548352782,현대홈타운,매매,18/20,15억,107,84,남서향,15억
2547878191,현대홈타운,매매,1/20,"12억 5,000",107,84,남서향,"12억 5,000"
2547885450,현대홈타운,매매,2/20,"12억 2,000",79,59,동향,"12억 2,000"
2547776388,현대홈타운,매매,4/20,15억,107,84,남향,15억
2547826693,현대홈타운,매매,3/20,14억,107,84,남서향,14억
2547612023,현대홈타운,매매,9/20,"14억 2,000",139,113,동향,"14억 2,000"
2547612523,현대홈타운,매매,15/20,"12억 3,000",79,59,동향,"12억 3,000"
2547588967,현대홈타운,매매,4/20,15억,107,84,남향,15억
2547408520,현대홈타운,매매,3/20,14억,107,84,남서향,14억
2547407163,현대홈타운,매매,1/20,"12억 5,000",107,84,남서향,"12억 5,000"
2547290692,현대홈타운,전세,6/20,"5억 9,000",107,84,남향,"5억 9,000"
2546878234,현대홈타운,매매,18/20,15억,107,84,남서향,15억
2546927249,현대홈타운,매매,11/20,"13억 9,000",139,113,남동향,"13억 9,000"
2546819189,현대홈타운,매매,15/20,"12억 3,000",79,59,동향,"12억 3,000"
