articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2616696277,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2616424199,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2616215573,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2616138943,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2617529504,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2615963994,래미안공덕3차,매매,19/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2616110126,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2616006228,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2617135567,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617264586,래미안공덕3차,매매,중/20,22억,80,59,남서향,22억,616,20040830
2617295837,래미안공덕3차,매매,중/20,"21억 9,000",80,59,남서향,22억,616,20040830
2615250756,래미안공덕3차,매매,19/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2617234690,래미안공덕3차,전세,중/20,12억,136,114,남동향,12억,616,20040830
2617249911,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617174426,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2615384465,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2616722759,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2616729404,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2615351787,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2616501650,래미안공덕3차,매매,중/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2613368061,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2616236875,래미안공덕3차,매매,고/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2614868210,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2614808155,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2614800206,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2614806226,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2616006620,래미안공덕3차,매매,중/20,22억,80,59,남서향,22억,616,20040830
2614683400,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2614732073,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2614648233,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2614649093,래미안공덕3차,매매,19/20,"21억 5,000",80,59,남서향,"21억 5,000",616,20040830
2614781325,래미안공덕3차,매매,19/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2614560305,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
